h,k,l,Fo^2_raw,Fo^2_sigma_raw,asu_h,asu_k,asu_l,Resolution,xobs,yobs,zobs,frame,Fc^2,Fo^2_fcf,Fo^2_sigma_fcf,fcf_asu_count,Fo^2_scaled,Fo^2_sigma_scaled,SRES,absSRES,Miller,asu,hkl
2,0,-14,2550.56,2193.9500000000003,0,14,2,0.8420934657150596,400.6,142.1,5.0,5,4.21,11.44,5.13,13,2.0562663504174137,1.7687666863348777,-1.2176471132240805,1.2176471132240805,"(2, 0, -14)","(0, 14, 2)","(2, 0, -14)"
3,-3,-15,6873.53,3620.3900000000003,3,15,3,0.763962706197695,389.7,99.2,5.3,5,2.38,6.53,3.25,15,5.541453032896542,2.918765342665023,1.0831473797101927,1.0831473797101927,"(3, -3, -15)","(3, 15, 3)","(3, -3, -15)"
-2,0,12,16915.0,7434.52,0,12,2,0.9789137699097501,110.1,342.5,5.5,6,9.83,14.18,6.555,14,13.636905353063858,5.993724243893604,0.6351485650916167,0.6351485650916167,"(-2, 0, 12)","(0, 12, 2)","(-2, 0, 12)"
-3,15,-11,328.61,1286.9899999999998,3,15,11,0.6320640923999785,477.6,342.1,6.0,6,0.19,0.635,1.545,16,0.2649260105273612,1.037573799606246,0.07221270482716048,0.07221270482716048,"(-3, 15, -11)","(3, 15, 11)","(-3, 15, -11)"
-2,11,-9,2351.4999999999995,2033.21,2,11,9,0.8297393467198877,425.3,309.8,6.4,6,3.13,4.095000000000001,2.5199999999999996,20,1.8957837976783716,1.6391777908899183,-0.7529483434811338,0.7529483434811338,"(-2, 11, -9)","(2, 11, 9)","(-2, 11, -9)"
0,8,-17,2288.6900000000005,2191.8199999999997,0,17,8,0.6338521132065672,492.9,213.8,6.5,6,5.51,3.73,2.61,11,1.8451462555426383,1.7670494762608584,-2.0739961125549957,2.0739961125549957,"(0, 8, -17)","(0, 17, 8)","(0, 8, -17)"
-3,-1,19,1445.5999999999997,1741.5400000000002,1,19,3,0.6182844733833726,24.4,386.2,6.5,6,0.37,0.915,1.185,26,1.1654454849771865,1.4040328790171348,0.566543345860976,0.566543345860976,"(-3, -1, 19)","(1, 19, 3)","(-3, -1, 19)"
-1,-6,16,2158.82,1874.6000000000001,1,16,6,0.6957312086400668,20.8,302.9,6.6,7,0.36,1.105,1.46,26,1.7404448131422596,1.5113061055189778,0.913411788717825,0.913411788717825,"(-1, -6, 16)","(1, 16, 6)","(-1, -6, 16)"
-1,10,-14,3717.26,2606.98,1,14,10,0.691030268258802,474.3,260.2,6.7,7,8.35,7.81,4.03,23,2.996862121946802,2.101752262331092,-2.5469880413574217,2.5469880413574217,"(-1, 10, -14)","(1, 14, 10)","(-1, 10, -14)"
-4,3,18,2165.21,1842.6599999999999,3,18,4,0.6374741547657203,65.3,425.7,6.8,7,1.39,2.77,2.09,30,1.7455964433643154,1.4855560164278243,0.23936925934262954,0.23936925934262954,"(-4, 3, 18)","(3, 18, 4)","(-4, 3, 18)"
