frame,SRES,absSRES,Miller,asu,Resolution,zobs,Fo^2_scaled,Fo^2_sigma_scaled,Fc^2
1,-2.3430381520652768,2.3430381520652768,"(0, 7, -15)","(0, 15, 7)",0.7194490009469079,0.8,4.763057024180215,2.930785813183154,11.63
2,-0.9508850421695717,0.9508850421695717,"(0, 3, -6)","(0, 6, 3)",1.7752889029363337,1.8,14.838146202964252,6.448575301011257,20.97
2,-0.8435890632118096,0.8435890632118096,"(-2, 13, -14)","(2, 14, 13)",0.6199577767771367,1.5,1.1431298160340704,1.430637542135734,2.35
2,-0.29326076436682225,0.29326076436682225,"(1, 5, -18)","(1, 18, 5)",0.6365628259870125,2.4,0.45682625180373065,1.2383986960560367,0.82
2,0.1025977664094813,0.1025977664094813,"(-1, 9, -12)","(1, 12, 9)",0.7921748963276238,1.6,7.9041002961915705,4.036153131627067,7.49
2,0.11782882845391132,0.11782882845391132,"(-2, -3, 17)","(2, 17, 3)",0.6852859436055226,2.1,1.812535388174537,1.634026160667862,1.62
2,0.8092644397384389,0.8092644397384389,"(-4, 14, -2)","(2, 14, 4)",0.8103048151890242,2.4,6.281231969995267,3.0166060067884537,3.84
2,1.3012013786433407,1.3012013786433407,"(-2, 10, -7)","(2, 10, 7)",0.9627855861858968,1.8,6.434845682438235,3.1316026476138177,2.36
2,1.438517017412392,1.438517017412392,"(4, -16, 3)","(3, 16, 4)",0.7104313786511982,2.2,4.678954040648933,2.279398853791194,1.4
2,1.7203149119731609,1.7203149119731609,"(-5, 18, -4)","(4, 18, 5)",0.6233455494126856,2.0,3.2311524597921393,1.866607350458308,0.02
3,-1.6800796947443608,1.6800796947443608,"(-3, 4, 11)","(3, 11, 4)",0.9855958527365601,3.3,1.0358565895322274,1.2821673978956962,3.19
3,-0.6553310057636439,0.6553310057636439,"(3, -10, -1)","(1, 10, 3)",1.135478597532576,3.4,50.10222406571129,20.184877287890032,63.33
3,-0.5039317500900569,0.5039317500900569,"(-3, 1, 16)","(1, 16, 3)",0.730187639392646,3.2,1.5293247182674836,1.5293247182674836,2.3
3,0.09331363139690754,0.09331363139690754,"(-5, 7, 17)","(5, 17, 7)",0.6250603959799322,2.9,1.6923871171271165,1.5258983601385732,1.55
3,0.286196464475864,0.286196464475864,"(2, -11, 7)","(2, 11, 7)",0.9028189600981164,3.2,5.18958620810525,2.723954712483861,4.41
3,0.5998750203986477,0.5998750203986477,"(-1, -1, 8)","(1, 8, 1)",1.465896566072874,2.8,36.43952025144152,15.035665671572033,27.42
3,1.9837410843731023,1.9837410843731023,"(1, 2, -11)","(1, 11, 2)",1.0609380433116877,3.0,7.089658999959105,3.468022643758069,0.21
4,-1.2337535730404703,1.2337535730404703,"(4, -7, -14)","(4, 14, 7)",0.7371485941168371,4.3,4.277312309768479,2.2716754394676726,7.08
4,-0.8544404050533794,0.8544404050533794,"(-1, -4, 13)","(1, 13, 4)",0.8732102463946483,3.5,4.586265006747559,2.555748745421299,6.77
4,1.3545163342264377,1.3545163342264377,"(1, -8, 8)","(1, 8, 8)",1.0485289843431855,3.6,5.070292511085276,2.827793518837667,1.24
5,-2.0508120181335108,2.0508120181335108,"(5, -18, 0)","(0, 18, 5)",0.6374741547657203,4.9,0.5090036395926927,0.8196735466457911,2.19
5,-1.2176471132240805,1.2176471132240805,"(2, 0, -14)","(0, 14, 2)",0.8420934657150596,5.0,2.0562663504174137,1.7687666863348777,4.21
5,-0.5028771295876026,0.5028771295876026,"(0, 4, -8)","(0, 8, 4)",1.33146667720225,4.9,11.56012922598774,5.1501065004410735,14.15
5,0.59640760328802,0.59640760328802,"(3, -16, 9)","(3, 16, 9)",0.6402318063763732,4.8,1.3010405846716477,1.5610810116081388,0.37
5,1.0831473797101927,1.0831473797101927,"(3, -3, -15)","(3, 15, 3)",0.763962706197695,5.3,5.541453032896542,2.918765342665023,2.38
6,-2.0739961125549957,2.0739961125549957,"(0, 8, -17)","(0, 17, 8)",0.6338521132065672,6.5,1.8451462555426383,1.7670494762608584,5.51
6,-0.7529483434811338,0.7529483434811338,"(-2, 11, -9)","(2, 11, 9)",0.8297393467198877,6.4,1.8957837976783716,1.6391777908899183,3.13
6,0.07221270482716048,0.07221270482716048,"(-3, 15, -11)","(3, 15, 11)",0.6320640923999785,6.0,0.2649260105273612,1.037573799606246,0.19
6,0.566543345860976,0.566543345860976,"(-3, -1, 19)","(1, 19, 3)",0.6182844733833726,6.5,1.1654454849771865,1.4040328790171348,0.37
6,0.6351485650916167,0.6351485650916167,"(-2, 0, 12)","(0, 12, 2)",0.9789137699097501,5.5,13.636905353063858,5.993724243893604,9.83
7,-2.5469880413574217,2.5469880413574217,"(-1, 10, -14)","(1, 14, 10)",0.691030268258802,6.7,2.996862121946802,2.101752262331092,8.35
7,-0.2894727141449852,0.2894727141449852,"(-4, 15, -4)","(4, 15, 4)",0.7428630098220451,7.2,0.29805284711958074,0.6976379569207759,0.5
7,-0.2559224004874674,0.2559224004874674,"(0, -7, 12)","(0, 12, 7)",0.8572285775666206,7.4,28.48391977706764,12.195416333183386,31.605
7,0.23936925934262954,0.23936925934262954,"(-4, 3, 18)","(3, 18, 4)",0.6374741547657203,6.8,1.7455964433643154,1.4855560164278243,1.39
7,0.5450544218764164,0.5450544218764164,"(1, -4, 1)","(1, 4, 1)",2.806978219050199,7.2,270.9362457864265,108.47769215939428,211.81
7,0.913411788717825,0.913411788717825,"(-1, -6, 16)","(1, 16, 6)",0.6957312086400668,6.6,1.7404448131422596,1.5113061055189778,0.36
8,-0.3947263819945752,0.3947263819945752,"(4, -6, -16)","(4, 16, 6)",0.6785782525289142,7.7,3.2208572613671547,1.9738805769601515,4.0
8,-0.06055429997179639,0.06055429997179639,"(0, 5, -10)","(0, 10, 5)",1.0651733417618001,8.5,12.28974195696751,5.4539156292172235,12.62
8,0.5144935049738917,0.5144935049738917,"(1, 3, -13)","(1, 13, 3)",0.8901204519582807,7.5,0.6200579530650278,1.1663081210237594,0.02
8,1.700577000339976,1.700577000339976,"(2, -13, 10)","(2, 13, 10)",0.7207654686552771,7.8,7.895522307840606,3.9254454849771867,1.22
9,-3.1325759332853713,3.1325759332853713,"(0, -9, 15)","(0, 15, 9)",0.6807922168207128,9.4,4.325370005783621,2.788321873192618,13.06
9,-0.6147606115833153,0.6147606115833153,"(3, -2, -17)","(2, 17, 3)",0.6852859436055226,9.3,0.874511400746613,1.2126486069648834,1.62
9,-0.05136757807095881,0.05136757807095881,"(4, -18, 6)","(4, 18, 6)",0.6141597810847986,8.7,0.7527346018355698,1.1148160048605795,0.81
9,0.13912245035837784,0.13912245035837784,"(2, 1, -16)","(1, 16, 2)",0.7371485941168371,9.4,0.9105566882627517,1.3697048015750146,0.72
9,1.5729915650566992,1.5729915650566992,"(1, -10, 11)","(1, 11, 10)",0.7992797461543818,8.8,18.89737283333236,8.434484410508666,5.63
10,-0.633556828341705,0.633556828341705,"(-4, 16, -6)","(4, 16, 6)",0.6785782525289142,10.1,2.8483919777067643,1.8176870183965927,4.0
10,0.17035639211204204,0.17035639211204204,"(-4, 6, 13)","(4, 13, 6)",0.8010860303702088,9.7,2.085442797637478,1.6168621219468025,1.81
10,0.4294521591713161,0.4294521591713161,"(-6, 13, 12)","(6, 13, 12)",0.6374741547657203,10.5,1.4340639002646445,1.0573096224287706,0.98
10,0.9155962817580054,0.9155962817580054,"(-2, 4, 5)","(2, 5, 4)",1.7752889029363332,9.9,11.534330764781826,4.85402884800757,7.09
10,1.8641187197088658,1.8641187197088658,"(3, -13, 4)","(3, 13, 4)",0.8550163710978645,9.7,21.086211026271666,8.95125983653964,4.4
11,-1.1159778885981626,1.1159778885981626,"(-2, 12, -11)","(2, 12, 11)",0.726104545095899,11.1,0.26732849222716193,0.9611942303984858,1.34
11,-0.47165784777086045,0.47165784777086045,"(-2, -2, 15)","(2, 15, 2)",0.7801845302795704,11.2,23.420165563494237,10.049306841616376,28.16
11,-0.11131107893194901,0.11131107893194901,"(4, -5, -18)","(4, 18, 5)",0.6233455494126856,11.1,-0.07220344330005317,0.8283402172071528,0.02
11,0.2056130464803655,0.2056130464803655,"(5, -11, -13)","(5, 13, 11)",0.6709961346374604,11.4,0.7344580044750046,0.9457474017514443,0.54
11,0.4826756246671914,0.4826756246671914,"(1, 4, -15)","(1, 15, 4)",0.7655395142864178,11.2,7.379738510162234,3.770106500441074,5.56
11,0.5621434341003798,0.5621434341003798,"(2, -7, 0)","(0, 7, 2)",1.6358269560649379,10.6,252.57096621546614,101.09691364876467,195.74
12,-2.154994844745496,2.154994844745496,"(0, 6, -12)","(0, 12, 6)",0.8876444514681668,12.1,7.023574629176329,3.3718991897086563,14.29
12,-1.9853510605468632,1.9853510605468632,"(5, -10, -15)","(5, 15, 10)",0.6365628259870125,11.9,3.3718991897086563,1.918099466621488,7.18
12,-0.7655214825635842,0.7655214825635842,"(-2, -4, 18)","(2, 18, 4)",0.6420902480398741,12.1,3.2749211616317986,2.2665318712647435,5.01
12,-0.2943393877353402,0.2943393877353402,"(-5, 8, 15)","(5, 15, 8)",0.6720637504830743,12.4,1.8099636040730722,1.4949966408253637,2.25
12,0.9284334835980348,0.9284334835980348,"(5, -12, -11)","(5, 12, 11)",0.6993205594200606,11.7,1.107947164564505,0.7840595771529386,0.38
13,-0.7310385941380637,0.7310385941380637,"(2, 2, -18)","(2, 18, 2)",0.6535912861086114,13.0,0.6201385732562962,1.2993314366167559,1.57
13,-0.17577600772387192,0.17577600772387192,"(-3, 2, 14)","(2, 14, 3)",0.8237627550181085,12.8,29.127268903390135,12.247013255595213,31.28
13,0.45088024688072326,0.45088024688072326,"(3, -1, -19)","(1, 19, 3)",0.6182844733833726,12.9,0.9697722187494521,1.3302250939108384,0.37
14,0.18730542323751545,0.18730542323751545,"(-3, 5, 9)","(3, 9, 5)",1.11051997613339,14.1,54.1187219947071,21.935947842241475,50.01
14,0.6710801587484756,0.6710801587484756,"(-1, -3, 11)","(1, 11, 3)",1.0404941610776304,13.6,17.57600789844193,7.578838134518878,12.49
